path,2013,2014,2015,2016,2017,2018,2019,2020,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer,NO,YES,YES,NO,YES,NO,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule,YES,YES,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,NO,NO,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,YES,YES,YES,
