Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"c. PORTABLE DOPPLER RADAR","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","15-7e10892ac5b56e26d957490da80083811bea3353419d3e5e6c6c50e04f369487","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"a. PRIME MISSION EQUIPMENT (Wing LAN)","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","0-3c62abbfd2bba1f955aeb95dbaa18f34b3447139b34cd3fa05936d1534d7c157","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Wing LAN Network Infrastructure","","3.644","3.644","1","7.142","1","7.142","1.566","1","1.566","3.602","1","3.602","","","0.000","3.602","1","3.602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","1-fa98e6ff19e88a87dc1c579517711393ea1ef951b830e13950c551d4d341fdf5","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Land Mobile Radio (LMR) Systems","","0.000","","","","","0.000","3.8","1","3.8","4.2","1","4.2","","","0.000","4.2","1","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","2-6eaf220b6557067d957cb7408ad899ea7da65d9554d44659f34737ad4b3cfa2b","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"b.  PRIME MISSION EQUIPMENT (DSATCOM PHASE 1)","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","3-fc5f5f4c6b1fa57e908475f62c1b693c72cd1e9e23efcc08a46ed157792bd70c","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AN/TSC-159a Mod/Integration (Active)","","1.26","0.21","6","","","0.000","0.12","8","0.96","0.13","6","0.78","","","0.000","0.13","6","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","4-45bbf3232469baa3d4a098ee6908d393c50b626902de7757bce7210721f66f4b","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AN/TSC-159a Mod/Integration (Guard)","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","5-f5774d442f47de460cc27f385b55829edfbfd7e80ae809d77dad9c60bfb1e35d","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AN/TSC-159a Mod/Integration (Reserve)","","0.84","0.21","4","","","0.000","","","0.000","0.13","2","0.26","","","0.000","0.13","2","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","6-4f59d170a6446d03bdfb5f84480379f04b2e8ae2b8e1aaf7d55a7ad213fce0da","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"War Readiness Spares Kit","","0.5","0.05","10","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","7-a3ebe4811c447520eab6a279a5469bb803913dde6b719f0d6e5e58814bb572a6","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Software","","0.12","0.12","1","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","8-929ed50f8e5fbefb56bdfa31436cb600233f8c7ee2eb1d9816a9c4ed4f7e2aa9","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"First Destination Transportation","","0.025","0.025","1","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","9-0604e56c73fed88bad2c7e51d7de0bc51d8441f6e9893033d16cf6104e73e0f3","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"c.  FUEL EFFICIENCY PROGRAM","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","10-d8a9d29ff7934a710704eeb8c9b8ad92c3a83fa1074b29d5c785f005c71865fe","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Mission Index Flying (MIF) COTS Software","","0.000","","","","","0.000","7.8","1","7.8","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","11-7576ee3ddaf6dbf08d7c97467c7592ab15ab90118c9c36c2e6f6ce535ca28099","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Advanced Computer Flight Plan (ACFP) System Overlay COTS Software/Integration","","0.000","","","","","0.000","2.1","1","2.1","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","12-c080984919e12cfbd0bfe1d1ff04f728da7ece0d8e53a0dff06be52a5bc17550","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"MAF Decision Spt Network Equipment","","0.000","","","","","0.000","0.6","1","0.6","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","13-cbeb62cce916cca68dc78f30330886712815842cfd186095471b9f067b401a7e","2-0c8f36f2bef3c782ec68ec01f0297b940cfe48b3387dd30888a0f524c7a9ee1a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP FIELD","","2.726","1.363","2","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","0-4397c0cc6fd885570e6d7398ea9f2adf45f6e4a72afbb316c5eeb9e65a2a8a4b","0-5ca87a92643ce848e8cd7a6de13b333632b5caa4961c4ef32e0f25109d5a878c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ANTENNA","","1.233","1.233","1","1.648","1","1.648","0.954","2","1.908","1.03","1","1.03","","","0.000","1.03","1","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","1-e0d941a06c1a40ad60ad6f8d3c1e943ee001d888204855a1c0e8dc52e9901bdf","0-5ca87a92643ce848e8cd7a6de13b333632b5caa4961c4ef32e0f25109d5a878c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AUTOMATED DATA PROCESSOR TESTBED (ADP)","","1.347","1.347","1","1.363","1","1.363","1.245","1","1.245","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","2-9408bc12248e8f78a90f14b2a07110132e5fea24dbe80d16765baf77c5b0c191","0-5ca87a92643ce848e8cd7a6de13b333632b5caa4961c4ef32e0f25109d5a878c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIVER","","1.929","1.929","1","","","0.000","","","0.000","0.311","1","0.311","","","0.000","0.311","1","0.311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","3-be2263c07021b5214340962abef7d04ee2fbfeca252e0291fc87e5a77eedc4d6","0-5ca87a92643ce848e8cd7a6de13b333632b5caa4961c4ef32e0f25109d5a878c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TEST SOURCE","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","4-7fec8615e6811f5547850ab2c3b1b8cac02f7a7cfdc017a4e96957da4a13a7f0","0-5ca87a92643ce848e8cd7a6de13b333632b5caa4961c4ef32e0f25109d5a878c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP TESTBED","","1.518","1.518","1","1.482","1","1.482","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","0-40e5b0321c3bf9cddc218d45e21d8ffa86446ca9793b860e3fb8ff2847b5f7c6","1-7c0577c09fff1c9123ef4480d2d0fa21b3bae19397e0c8da6ecab6a1c8042b86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP","","0.000","","","","","0.000","","","0.000","1.408","3","4.223","","","0.000","1.408","3","4.223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","1-aaf0209116fa8e2dfbd76fdffc5895901890e31400312dcadc432032aa148b8f","1-7c0577c09fff1c9123ef4480d2d0fa21b3bae19397e0c8da6ecab6a1c8042b86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP FIELD","","1.8","0.6","3","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","2-6e07c42569e46710c2db6f290fda1c013240b8d27228792993fcd722f7b63de6","1-7c0577c09fff1c9123ef4480d2d0fa21b3bae19397e0c8da6ecab6a1c8042b86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ANTENNA","","1.6","0.8","2","","","0.000","0.57","3","1.71","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","3-724e5b4c1d49d97743dccde4e16511b6a504146c3c64a94d343d83b6bb2ca2b2","1-7c0577c09fff1c9123ef4480d2d0fa21b3bae19397e0c8da6ecab6a1c8042b86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIVER","","1.682","0.841","2","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","4-f228026446d7fe54ca50f4e07cf98ee359a926664ba0e00ffd35c6795da0a7e5","1-7c0577c09fff1c9123ef4480d2d0fa21b3bae19397e0c8da6ecab6a1c8042b86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"REMOTE EQUIPMENT SHELTER","","1.454","1.454","1","1.4","1","1.4","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db0c6e1714685f0fa7ee92903b30f08489135a6b627a3fa97cf47497a69df3cb","5-2bf1193161c3059386e15949dc49a6a7c66a36d9e62e8cbdb193394f6f04b59b","1-7c0577c09fff1c9123ef4480d2d0fa21b3bae19397e0c8da6ecab6a1c8042b86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(1) ACC PC SYSTEMS - LEGACY","","1.81","0.006","318","0.006","620","3.418","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","0-5f39cee3153ee0623eda3fd82b6f37ea8948eee05ba2c028c5e3d2bb07a557f7","54-a3568a7c64b4b8599016fa92c83910328b976274eb57b5a8a71a2199af764158","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(2) AMC PC SYSTEMS - LEGACY","","0.000","","","0.006","385","2.123","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","1-05431d641ec2fb85b548501484ad6add19860f388382035349295a7636e82467","54-a3568a7c64b4b8599016fa92c83910328b976274eb57b5a8a71a2199af764158","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(1) ACC PC SYSTEMS - INCREMENT III","","1.324","0.006","232","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","0-467edc7559ea65c2daaf70e7b5d4aaf3f39ce01e0ac4a4e721a176cbfa5c5586","55-421a6e3c263f90ca4efefb4ef45dcf34043e00c3b14f4c903d3364131b23f6e7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(1) ACC PC SYSTEMS - INCREMENT IV","","3.496","0.006","613","0.005","651","3.447","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","0-fb06ca9858f41a2443f9d1c145d102603afa481e55b799e00b47a3393a6cb634","56-24b3b9bd1ec24865605f3a073f1f0544fa586653ab9fc93af41ed4ac1c1c4f0d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(2) AMC PC SYSTEMS - INCREMENT IV","","4.206","0.005","791","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","1-bee1e960cab52779952eb185a1eff4672cb3b677b996f13b10aa368eb872eb33","56-24b3b9bd1ec24865605f3a073f1f0544fa586653ab9fc93af41ed4ac1c1c4f0d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"GPS RETRANSMISSION SUBSYSTEM","","0.586","0.011","52","0.011","35","0.395","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","0-be57debb25b1c7726b3d04cbbb474aff0686a4dd039e94f5c9ad2c8eaf690f27","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"UHF RECEIVE SUBSYSTEM","","0.000","","","0.035","35","1.229","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","1-390a8c18ecc0ef925c606d0810053cac346389317d80bc1c95fdb55457b873c4","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
